                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9855,                0.79289,                0.88843,                0.75411,                0.88707,                0.91716,                0.63636,                 1.2189,                0.82018,                0.97225,             5.6193e-05,             5.6193e-05,             5.6193e-05
                      2,                0.82294,                0.60047,                0.85747,                0.76805,                0.80458,                0.87405,                0.62428,                 1.1315,                0.86016,                0.95302,             0.00010881,             0.00010881,             0.00010881
                      3,                0.73199,                0.54297,                0.84357,                0.70669,                0.88294,                0.88233,                0.61856,                 1.1932,                0.86023,                0.96432,             0.00015772,             0.00015772,             0.00015772
                      4,                0.67806,                0.50961,                0.83599,                0.77303,                0.76262,                0.87423,                0.62759,                 1.1508,                0.85036,                0.95268,             0.00015227,             0.00015227,             0.00015227
                      5,                 0.6328,                0.47798,                0.83012,                0.75333,                 0.8635,                0.89785,                0.63777,                 1.1528,                0.81454,                0.96108,             0.00014669,             0.00014669,             0.00014669
                      6,                0.60333,                0.45649,                 0.8257,                0.73425,                0.85254,                0.88559,                0.63106,                 1.1592,                0.87584,                0.96119,             0.00014112,             0.00014112,             0.00014112
                      7,                0.58185,                0.44078,                 0.8227,                0.71542,                0.83561,                0.88277,                0.63037,                 1.1418,                0.86195,                0.95647,             0.00013554,             0.00013554,             0.00013554
                      8,                0.55651,                0.42512,                0.82126,                0.63656,                0.90165,                0.88495,                0.62276,                 1.1778,                0.86505,                0.97155,             0.00012996,             0.00012996,             0.00012996
                      9,                0.54516,                0.41608,                0.81918,                 0.6875,                0.83382,                0.87306,                0.61708,                 1.1479,                0.86753,                0.96233,             0.00012438,             0.00012438,             0.00012438
                     10,                0.53399,                0.40456,                0.81651,                0.80364,                0.78337,                 0.8894,                0.63114,                 1.1674,                0.85761,                0.97144,             0.00011881,             0.00011881,             0.00011881
                     11,                0.51946,                0.39681,                0.81541,                0.80163,                 0.7853,                0.88203,                0.63371,                 1.1666,                 0.8745,                0.96072,             0.00011323,             0.00011323,             0.00011323
                     12,                0.50861,                0.38872,                0.81412,                0.70366,                0.80418,                0.85566,                0.61107,                 1.1697,                0.90485,                0.95735,             0.00010765,             0.00010765,             0.00010765
                     13,                0.49847,                0.38346,                0.81389,                0.62906,                0.90577,                0.89083,                0.64379,                 1.1554,                0.86203,                0.95734,             0.00010208,             0.00010208,             0.00010208
                     14,                0.48463,                 0.3735,                0.81172,                 0.7743,                  0.769,                0.90081,                0.64093,                 1.1672,                0.83622,                0.96233,             9.6499e-05,             9.6499e-05,             9.6499e-05
                     15,                0.47899,                0.36861,                 0.8106,                0.64839,                0.89314,                0.88442,                0.62721,                 1.1616,                0.90696,                0.96607,             9.0922e-05,             9.0922e-05,             9.0922e-05
                     16,                0.47346,                0.36852,                0.81046,                0.67937,                 0.8502,                0.88583,                0.63695,                 1.1643,                0.89334,                0.96243,             8.5345e-05,             8.5345e-05,             8.5345e-05
                     17,                0.46612,                0.36026,                0.80937,                0.67684,                0.85673,                0.90012,                0.63855,                 1.1716,                0.87954,                0.96572,             7.9768e-05,             7.9768e-05,             7.9768e-05
                     18,                0.46831,                0.36215,                0.80972,                0.72506,                0.88496,                0.89953,                0.64852,                 1.1767,                0.81831,                0.96501,             7.4191e-05,             7.4191e-05,             7.4191e-05
                     19,                0.45682,                0.35023,                0.80955,                0.68124,                0.85429,                0.89622,                0.64059,                   1.18,                0.84487,                 0.9699,             6.8614e-05,             6.8614e-05,             6.8614e-05
                     20,                0.45032,                0.34525,                0.80779,                0.67512,                0.85207,                0.87072,                0.62535,                 1.1686,                0.85127,                 0.9648,             6.3037e-05,             6.3037e-05,             6.3037e-05
                     21,                0.80856,                0.57222,                0.90839,                0.76533,                0.83431,                 0.9127,                0.63398,                 1.2305,                0.82587,                0.97799,              5.746e-05,              5.746e-05,              5.746e-05
                     22,                0.76555,                0.52032,                 0.8928,                0.72716,                0.85924,                0.87935,                 0.6059,                 1.2242,                0.84182,                0.97426,             5.1883e-05,             5.1883e-05,             5.1883e-05
                     23,                0.74063,                0.49876,                0.88463,                0.73011,                0.82609,                0.86497,                0.61233,                 1.2066,                0.91087,                0.97247,             4.6306e-05,             4.6306e-05,             4.6306e-05
                     24,                0.73024,                0.48804,                0.88287,                0.79868,                0.84303,                0.90496,                0.64271,                 1.1859,                0.80004,                0.96708,             4.0729e-05,             4.0729e-05,             4.0729e-05
                     25,                0.71924,                0.47911,                0.87927,                0.76157,                0.85386,                0.88147,                0.61752,                 1.1904,                0.83877,                 0.9623,             3.5152e-05,             3.5152e-05,             3.5152e-05
