                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73142,                0.58467,                0.88903,                0.75336,                0.67842,                0.78534,                0.43024,                    nan,                    nan,                    nan,             5.6192e-05,             5.6192e-05,             5.6192e-05
                      2,                0.74751,                0.60015,                0.89474,                 0.7422,                0.65808,                0.76915,                0.42243,                    nan,                    nan,                    nan,             0.00010139,             0.00010139,             0.00010139
                      3,                 0.7513,                0.60633,                0.89617,                0.81183,                0.62866,                 0.7582,                0.39396,                    nan,                    nan,                    nan,             0.00013542,             0.00013542,             0.00013542
                      4,                0.74717,                 0.5968,                0.89542,                0.70103,                0.64201,                0.78086,                0.43774,                    nan,                    nan,                    nan,             0.00011881,             0.00011881,             0.00011881
                      5,                0.73783,                0.58081,                0.89097,                0.69292,                0.73048,                0.79822,                0.42775,                    nan,                    nan,                    nan,             0.00010208,             0.00010208,             0.00010208
                      6,                0.72218,                0.55434,                0.88906,                 0.6837,                0.74591,                0.81304,                0.43512,                    nan,                    nan,                    nan,             8.5345e-05,             8.5345e-05,             8.5345e-05
                      7,                0.70778,                0.54563,                0.88492,                0.69373,                0.68255,                0.77686,                0.42308,                    nan,                    nan,                    nan,             6.8614e-05,             6.8614e-05,             6.8614e-05
                      8,                0.69827,                0.52868,                0.88046,                0.85216,                0.64138,                0.80834,                0.42108,                    nan,                    nan,                    nan,             5.1883e-05,             5.1883e-05,             5.1883e-05
                      9,                0.68609,                0.51604,                0.87844,                0.71391,                0.70219,                0.82183,                0.42198,                    nan,                    nan,                    nan,             3.5152e-05,             3.5152e-05,             3.5152e-05
                     10,                0.67192,                0.50408,                 0.8742,                  0.756,                0.69076,                0.82343,                 0.4354,                    nan,                    nan,                    nan,             1.8421e-05,             1.8421e-05,             1.8421e-05
